mileage_kmpl,engine_cc,fuel_type,owner_count,price_usd,brand,transmission,color,service_history,accidents_reported,insurance_valid,car_age
8.17,4000,Petrol,4,8587.64,Chevrolet,Manual,White,No Record,0,No,24
17.59,1500,Petrol,4,5943.5,Honda,Manual,Black,No Record,0,Yes,11
18.09,2500,Diesel,5,9273.58,BMW,Automatic,Black,Full,1,Yes,2
11.28,800,Petrol,1,6836.24,Hyundai,Manual,Blue,Full,0,Yes,16
12.23,1000,Petrol,2,4625.79,Nissan,Automatic,Red,Full,0,Yes,20
13.77,2500,Diesel,4,6856.03,BMW,Manual,Gray,Full,1,Yes,23
12.5,1000,Petrol,3,6806.77,BMW,Manual,Red,Full,0,Yes,2
17.46,2000,Diesel,5,7701.84,BMW,Manual,Blue,No Record,0,Yes,10
14.99,5000,Diesel,2,8730.52,Tesla,Manual,Silver,Partial,1,No,24
19.59,4000,Petrol,4,10812.16,Chevrolet,Automatic,White,Partial,0,Yes,5
21.25,1800,Petrol,2,10070.16,BMW,Automatic,Red,No Record,0,No,12
20.91,5000,Diesel,5,9638.93,Toyota,Manual,Silver,Partial,0,Yes,8
15.95,2500,Petrol,3,5543.9,Kia,Manual,Black,Full,1,Yes,20
19.42,800,Petrol,4,5855.47,Hyundai,Automatic,Silver,Full,0,Yes,20
23.18,3000,Diesel,3,9773.77,Hyundai,Automatic,Blue,Full,0,Yes,7
20.23,4000,Diesel,5,9468.89,Kia,Manual,White,Full,1,Yes,10
27.29,1800,Petrol,3,6491.29,Tesla,Automatic,Gray,No Record,2,Yes,27
22.91,2000,Diesel,5,6202.99,Kia,Automatic,Red,Partial,1,Yes,23
26.59,3000,Diesel,3,9921.66,Kia,Manual,Blue,Full,0,Yes,7
5.54,1500,Diesel,2,1223.8,Chevrolet,Automatic,Black,Partial,1,Yes,28
18.48,1000,Diesel,2,5591.11,Tesla,Automatic,Black,Full,1,Yes,9
16.38,5000,Electric,5,13054.69,BMW,Automatic,Gray,Full,0,Yes,10
17.38,3000,Petrol,2,5209.92,Chevrolet,Manual,White,Full,1,No,29
13.98,1000,Petrol,3,4916.24,Tesla,Automatic,Gray,No Record,0,Yes,7
19.98,1800,Petrol,3,5906.84,Kia,Manual,Gray,Full,0,Yes,19
8.96,2000,Petrol,4,2626.29,Volkswagen,Automatic,Gray,No Record,0,No,25
20.02,1800,Petrol,5,5167.78,Kia,Manual,Red,Partial,0,Yes,29
14.14,2000,Petrol,2,7992.87,BMW,Manual,Black,Partial,1,Yes,3
15.5,2000,Diesel,5,4481.1,Kia,Automatic,Blue,No Record,1,Yes,10
20.19,1200,Petrol,2,5047.31,Honda,Manual,Black,Full,0,No,30
18.39,1200,Diesel,4,7529.89,Tesla,Automatic,Red,No Record,1,Yes,19
23.27,4000,Petrol,3,11362.28,Kia,Automatic,Silver,Full,0,Yes,5
13.15,1200,Electric,3,8934.87,BMW,Automatic,Black,No Record,1,Yes,9
17.6,1200,Diesel,1,9565.19,Chevrolet,Manual,Black,No Record,0,Yes,2
22.44,1000,Diesel,5,3616.11,Tesla,Automatic,Black,No Record,0,Yes,19
19.81,2500,Diesel,2,11251.36,Ford,Automatic,Silver,No Record,3,Yes,6
20.13,5000,Diesel,1,10860.67,Nissan,Manual,Red,Full,0,Yes,14
